Company Name,Industry,Symbol,Series,ISIN Code
Nifty 50,Market Index,Nifty 50,IN,INE117A01234
Nifty 500,Market Index,Nifty 500,IN,INE117A01234
NIFTY100 EQL Wgt,Market Index,NIFTY100 EQL Wgt,IN,INE117A01234
NIFTY50 EQL Wgt,Market Index,NIFTY50 EQL Wgt,IN,INE117A01234
Nifty IT,Market Index,Nifty IT,IN,INE117A01234
Nifty Bank,Market Index,Nifty Bank,IN,INE117A01234
Nifty Energy,Market Index,Nifty Energy,IN,INE117A01234
Nifty FMCG,Market Index,Nifty FMCG,IN,INE117A01234
Nifty Metal,Market Index,Nifty Metal,IN,INE117A01234
Nifty Pharma,Market Index,Nifty Pharma,IN,INE117A01234
Nifty Auto,Market Index,Nifty Auto,IN,INE117A01234
Nifty Realty,Market Index,Nifty Realty,IN,INE117A01234
Nifty Fin Service,Market Index,Nifty Fin Service,IN,INE117A01234
Nifty Infra,Market Index,Nifty Infra,IN,INE117A01234
Nifty PSE,Market Index,Nifty PSE,IN,INE117A01234
Nifty PSU Bank,Market Index,Nifty PSU Bank,IN,INE117A01234
Nifty Pvt Bank,Market Index,Nifty Pvt Bank,IN,INE117A01234
Nifty MNC,Market Index,Nifty MNC,IN,INE117A01234
Nifty Consumption,Market Index,Nifty Consumption,IN,INE117A01234
Nifty Serv Sector,Market Index,Nifty Serv Sector,IN,INE117A01234
India VIX,Market Index,India VIX,IN,INE117A01234
Nifty Commodities,Market Index,Nifty Commodities,IN,INE117A01234
NIFTY HEALTHCARE,Market Index,NIFTY HEALTHCARE,IN,INE117A01234
Nifty CoreHousing,Market Index,Nifty CoreHousing,IN,INE117A01234
Nifty Mobility,Market Index,Nifty Mobility,IN,INE117A01234
Nifty EV,Market Index,Nifty EV,IN,INE117A01234
Nifty IPO,Market Index,Nifty IPO,IN,INE117A01234
Nifty Housing,Market Index,Nifty Housing,IN,INE117A01234
Nifty Ind Defence,Market Index,Nifty Ind Defence,IN,INE117A01234
Nifty Ind Tourism,Market Index,Nifty Ind Tourism,IN,INE117A01234
NIFTY OIL AND GAS,Market Index,NIFTY OIL AND GAS,IN,INE117A01234
NIFTY100 ESG,Market Index,NIFTY100 ESG,IN,INE117A01234


